"","n.gram","counts"
"1","a every",2
"2","a fair",2
"3","a gallery",2
"4","a installations",2
"5","a life",3
"6","a made",2
"7","a making",2
"8","a museum",2
"9","a one",2
"10","a school",2
"11","a science",3
"12","a size",2
"13","a style",2
"14","a supplies",2
"15","a yarn",2
"16","ability feel",2
"17","ability get",2
"18","ability move",2
"19","ability work",2
"20","able accept",2
"21","able attend",2
"22","able become",2
"23","able breathe",2
"24","able cash",2
"25","able come",2
"26","able connect",2
"27","able contact",2
"28","able create",3
"29","able cure",2
"30","able get",12
"31","able handle",3
"32","able just",2
"33","able look",2
"34","able make",5
"35","able meet",2
"36","able offer",2
"37","able put",3
"38","able read",2
"39","able run",2
"40","able see",5
"41","able take",2
"42","able think",2
"43","able understand",2
"44","able wear",2
"45","able write",3
"46","aboion debate",2
"47","absolute worst",3
"48","absolutely amazing",2
"49","absolutely love",5
"50","absolutely nothing",2
"51","absolutely ridiculous",2
"52","absolutely right",2
"53","abundant grace",2
"54","abundantly clear",2
"55","academic performance",2
"56","academy award",2
"57","accents dialects",2
"58","access medical",2
"59","according company",2
"60","according dr",2
"61","according government",3
"62","according indictment",2
"63","according instructions",2
"64","according national",2
"65","according news",2
"66","according one",2
"67","according police",4
"68","according recent",2
"69","according repo",2
"70","according stats",2
"71","according study",2
"72","according survey",2
"73","according works",2
"74","account memory",3
"75","account percent",2
"76","accuracy proc",2
"77","accurate now",2
"78","acknowledge understood",2
"79","acl high",2
"80","acres land",2
"81","acres square",2
"82","across country",12
"83","across market",2
"84","across river",4
"85","across screen",2
"86","across street",4
"87","across tyne",2
"88","across world",4
"89","acrylic block",2
"90","act like",4
"91","act now",3
"92","act reception",2
"93","act way",2
"94","acting like",2
"95","acting skills",2
"96","action filmmaking",2
"97","action films",2
"98","action movie",2
"99","action plan",2
"100","action think",2
"101","actions show",2
"102","actors s",2
"103","acts like",2
"104","actual word",2
"105","actually based",2
"106","actually bought",2
"107","actually can",2
"108","actually found",2
"109","actually get",2
"110","actually good",2
"111","actually just",4
"112","actually like",2
"113","actually likely",2
"114","actually love",3
"115","actually m",2
"116","actually made",3
"117","actually might",2
"118","actually playing",2
"119","actually quite",2
"120","actually re",2
"121","actually really",2
"122","actually remembered",2
"123","actually says",2
"124","actually seen",2
"125","actually something",4
"126","actually staed",3
"127","actually taught",2
"128","actually two",3
"129","actually want",2
"130","actually way",2
"131","actually work",2
"132","ad business",2
"133","adam yauch",3
"134","add chicken",3
"135","add egg",2
"136","add garlic",5
"137","add half",2
"138","add link",2
"139","add little",4
"140","add million",4
"141","add remaining",2
"142","add wardrobe",2
"143","added billion",2
"144","added claims",2
"145","added little",2
"146","added lot",2
"147","added points",2
"148","addition family",2
"149","addition three",2
"150","additional orders",2
"151","address needs",2
"152","adidas also",2
"153","adjust accordingly",2
"154","administratio and",2
"155","administration fda",2
"156","administrative costs",2
"157","administrative law",2
"158","admission free",2
"159","admit little",3
"160","adobe acrobat",2
"161","adorable little",2
"162","adult beverage",2
"163","adult book",2
"164","adult books",2
"165","adult children",2
"166","adveising according",2
"167","adveising fees",3
"168","adveising linking",3
"169","advice can",3
"170","advice give",2
"171","advice make",2
"172","advice offer",2
"173","advised fund",2
"174","advisor john",2
"175","ae y",2
"176","aer lingus",3
"177","affected theft",2
"178","affordable housing",3
"179","afghan security",2
"180","afraid heights",2
"181","afraid people",2
"182","afraid say",2
"183","african american",9
"184","african americans",2
"185","age children",2
"186","age groups",2
"187","age majority",2
"188","age range",3
"189","age years",3
"190","age young",2
"191","agency trying",2
"192","agent may",2
"193","agents also",2
"194","ages made",2
"195","ages since",2
"196","agnes moorhead",5
"197","ago asked",2
"198","ago came",3
"199","ago just",2
"200","ago kept",2
"201","ago made",2
"202","ago new",2
"203","ago now",3
"204","ago told",2
"205","agreed pay",2
"206","ah love",3
"207","ah yes",3
"208","ahead ceain",2
"209","ahead curve",2
"210","ahead time",4
"211","ai not",3
"212","aichoke heas",2
"213","aicle called",2
"214","aicle ecb",2
"215","aicle good",2
"216","aicle points",2
"217","aicle today",2
"218","aicle want",2
"219","aids digestion",2
"220","aificial island",2
"221","aims bring",2
"222","air conditioning",6
"223","air force",6
"224","air quality",2
"225","air time",2
"226","aist came",2
"227","aistic style",2
"228","aists many",2
"229","aists really",2
"230","al awlaki",2
"231","al jazeera",2
"232","al qa",2
"233","al qaeda",4
