"","n.gram","counts"
"1","a",145
"2","aa",3
"3","aaah",2
"4","aac",3
"5","aadil",2
"6","aaron",14
"7","aashika",2
"8","ab",3
"9","aback",3
"10","abandon",6
"11","abandoned",16
"12","abandoning",2
"13","abaya",4
"14","abbey",7
"15","abbottabad",2
"16","abby",9
"17","abc",5
"18","abdomen",3
"19","abdominal",2
"20","abdul",2
"21","abhor",3
"22","abide",7
"23","abiding",6
"24","abigail",4
"25","abilities",7
"26","ability",55
"27","able",181
"28","abnegation",2
"29","aboard",4
"30","abode",4
"31","aboed",3
"32","aboion",8
"33","aboions",5
"34","abolished",2
"35","abomination",2
"36","abominations",2
"37","aboriginal",2
"38","abound",2
"39","abraham",4
"40","abroad",9
"41","abruptly",3
"42","abs",2
"43","absence",15
"44","absent",2
"45","absolute",16
"46","absolutely",49
"47","absorb",6
"48","absorbed",4
"49","abstract",10
"50","abstracts",3
"51","absurd",8
"52","abt",3
"53","abu",2
"54","abundance",5
"55","abundant",7
"56","abundantly",2
"57","abuse",28
"58","abused",4
"59","abuses",3
"60","abusive",7
"61","abv",7
"62","abyss",2
"63","ac",3
"64","academic",15
"65","academics",4
"66","academy",17
"67","acc",4
"68","accelerate",4
"69","accelerated",3
"70","acceleration",2
"71","accelerator",4
"72","accent",8
"73","accented",4
"74","accents",2
"75","accept",33
"76","acceptable",13
"77","acceptance",5
"78","accepted",28
"79","accepting",6
"80","accepts",4
"81","access",45
"82","accessed",3
"83","accessible",7
"84","accessories",13
"85","accessory",3
"86","accident",26
"87","accidental",3
"88","accidentally",7
"89","accidents",2
"90","accommodate",4
"91","accommodating",3
"92","accommodation",4
"93","accommodations",2
"94","accompanied",11
"95","accompanies",2
"96","accompany",6
"97","accompanying",7
"98","accomplice",3
"99","accomplish",15
"100","accomplished",11
"101","accomplishment",4
"102","accordance",2
"103","according",133
"104","accordingly",7
"105","account",44
"106","accountability",2
"107","accountable",6
"108","accountant",2
"109","accounted",4
"110","accounting",8
"111","accounts",19
"112","accra",4
"113","accumulated",3
"114","accumulations",2
"115","accuracy",3
"116","accurate",14
"117","accurately",4
"118","accursed",2
"119","accusations",2
"120","accused",19
"121","accusers",2
"122","accusing",4
"123","ace",3
"124","ache",4
"125","achieve",19
"126","achieved",7
"127","achievement",15
"128","achievements",2
"129","achieves",3
"130","achieving",4
"131","achilles",3
"132","aching",3
"133","acid",12
"134","acidity",2
"135","acids",4
"136","acknowledge",14
"137","acknowledged",7
"138","acknowledges",9
"139","acknowledging",2
"140","acl",2
"141","acne",5
"142","acorn",2
"143","acoustic",3
"144","acquaintance",2
"145","acquire",2
"146","acquired",12
"147","acquiring",6
"148","acquisition",8
"149","acquisitions",2
"150","acquitted",3
"151","acre",4
"152","acres",13
"153","acrobat",2
"154","acrobatic",2
"155","acronym",2
"156","across",112
"157","acrylic",4
"158","acs",2
"159","act",94
"160","acta",2
"161","acted",7
"162","acting",25
"163","action",79
"164","actions",33
"165","activate",2
"166","activated",2
"167","active",24
"168","actively",6
"169","activism",5
"170","activist",12
"171","activists",21
"172","activities",31
"173","activity",32
"174","actor",20
"175","actors",12
"176","actress",6
"177","acts",23
"178","actual",37
"179","actuality",4
"180","actually",213
"181","actuary",2
"182","acumen",2
"183","acute",3
"184","ad",30
"185","adage",2
"186","adam",15
"187","adamant",4
"188","adams",17
"189","adapt",4
"190","adaptation",4
"191","adapted",8
"192","adapting",3
"193","add",144
"194","added",116
"195","addict",3
"196","addicted",7
"197","addiction",7
"198","addicts",2
"199","adding",43
"200","addison",2
"201","addition",56
"202","additional",32
"203","additionally",7
"204","address",55
"205","addressed",13
"206","addresses",5
"207","addressing",5
"208","adds",21
"209","addy",2
"210","ade",2
"211","adelaide",4
"212","adele",3
"213","aden",2
"214","adequate",4
"215","adequately",5
"216","adherence",3
"217","adhesive",4
"218","adidas",2
"219","adieu",2
"220","adjacent",4
"221","adjective",2
"222","adjunct",2
"223","adjust",12
"224","adjustable",2
"225","adjusted",9
"226","adjusting",3
"227","adjustment",5
"228","adjustments",6
"229","adler",3
